*LANG			
	&English	简体中文(&Simplified Chinese)	繁體中文(&Traditional Chinese)
	Injured Barbarian 3		
	Baal Crab Clone		
	Baals Minion		
	Baals Minion		
	Baals Minion		
	Worldstone Effect		
	BurningDeadArcher		
	BoneArcher		
	BurningDeadArcher		
	ReturnedArcher		
	HorrorArcher		
	Afflicted		
	Tainted		
	Misshapen		
	Disfigured		
	Damned		
	MoonClan		
	NightClan		
	HellClan		
	BloodClan		
	DeathClan		
	FoulCrow		
	BloodHawk		
	BlackRaptor		
	CloudStalker		
	ClawViper		
	PitViper		
	Salamander		
	TombViper		
	SerpentMagus		
	Marauder		
	Infidel		
	SandRaider		
	Invader		
	Assailant		
	Death Mauler1		
	QuillRat		
	SpikeFiend		
	RazorSpine		
	CarrionBird		
	ThornedHulk		
	Slinger		
	Slinger		
	Slinger		
	VileArcher		
	DarkArcher		
	VileLancer		
	DarkLancer		
	BlackLancer		
	Blunderbore		
	Mauler		
	ReturnedMage		
	BurningDeadMage		
	ReturnedMage		
	HorrorMage		
	BoneMage		
	HorrorMage		
	HorrorMage		
	Huntress		
	SaberCat		
	CaveLeaper		
	TombCreeper		
	Ghost		
	Wraith		
	Specter		
	Succubusexp		
	Hell Temptress		
	Dominus		
	Hell Witch		
	VileWitch		
	Gloam		
	BlackSoul		
	BurningSoul		
	Carver		
	Devilkin		
	DarkOne		
	CarverShaman		
	DevilkinShaman		
	DarkShaman		
	BoneWarrior		
	Returned		
	Gloombat		
	Fiend		
	Blood Lord1		
	Blood Lord4		
	Scarab		
	SteelWeevil		
	Flayer		
	StygianDoll		
	SoulKiller		
	Flayer		
	StygianDoll		
	SoulKiller		
	FlayerShaman		
	StygianDollShaman		
	SoulKillerShaman		
	TempleGuard		
	TempleGuard		
	Guardian		
	Unraveler		
	Horadrim Ancient		
	Horadrim Ancient		
	Zealot		
	Zealot		
	Heirophant		
	Heirophant		
	Grotesque		
	FleshSpawner		
	GrotesqueWyrm		
	FleshBeast		
	WorldKiller		
	WorldKillerYoung		
	WorldKillerEgg		
	Slayerexp		
	HellSpawn		
	GreaterHellSpawn		
	Arach		
	Balrog		
	PitLord		
	Imp1		
	Imp4		
	Undead StygianDoll		
	Undead SoulKiller		
	Strangler		
	StormCaster		
	MawFiend		
	BloodLord		
	GhoulLord		
	DarkLord		
	UnholyCorpse		
	DoomKnight		
	DoomKnight		
	OblivionKnight		
	OblivionKnight		
	Cadaver		
*=======================以下是魔法前缀(Magic Prefix)			
0			
1			
2	Sturdy		
3	Strong		
4	Glorious		
5	Blessed		
6	Saintly		
7	Holy		
8	Devious		
9	Fortified		
10			
11			
12			
13	Jagged		
14	Deadly		
15	Vicious		
16	Brutal		
17	Massive		
18	Savage		
19	Merciless		
20	Vulpine		
21			
22			
23			
24			
25	Tireless		
26	Rugged		
27	Bronze		
28	Iron		
29	Steel		
30	Silver		
31			
32	Gold		
33	Platinum		
34	Meteoric		
35	Sharp		
36	Fine		
37	Warrior's		
38	Soldier's		
39	Knight's		
40	Lord's		
41	King's		
42	Howling		
43	Fortuitous		
44			
45			
46			
47			
48			
49	Glimmering		
50	Glowing		
51			
52			
53	Lizard's		
54			
55	Snake's		
56	Serpent's		
57	Serpent's		
58	Drake's		
59	Dragon's		
60	Dragon's		
61	Wyrm's		
62			
63			
64	Prismatic		
65	Prismatic		
66	Azure		
67	Lapis		
68	Lapis		
69	Cobalt		
70	Cobalt		
71			
72	Sapphire		
73			
74			
75	Crimson		
76	Burgundy		
77	Burgundy		
78	Garnet		
79	Garnet		
80			
81	Ruby		
82			
83			
84	Ocher		
85	Tangerine		
86	Tangerine		
87	Coral		
88	Coral		
89			
90	Amber		
91			
92			
93	Beryl		
94	Jade		
95	Jade		
96	Viridian		
97	Viridian		
98			
99	Emerald		
100			
	Fletcher's		
	Archer's		
	Archer's		
	Monk's		
	Priest's		
	Priest's		
	Summoner's		
	Necromancer's		
	Necromancer's		
	Angel's		
	Arch-Angel's		
	Arch-Angel's		
	Slayer's		
	Berserker's		
	Berserker's		
116			
117			
	Triumphant		
	Stout		
	Stout		
	Stout		
	Burly		
	Burly		
	Burly		
	Stalwart		
	Stalwart		
	Stalwart		
	Stout		
	Stout		
	Stout		
	Burly		
	Burly		
	Stalwart		
	Stalwart		
	Stout		
	Stout		
	Burly		
	Stalwart		
	Blanched		
	Eburin		
	Bone		
	Ivory		
	Sturdy		
	Sturdy		
	Strong		
	Glorious		
	Blessed		
	Saintly		
	Holy		
	Godly		
	Devious		
	Blank		
	Null		
	Antimagic		
	Red		
	Red		
	Sanguinary		
	Sanguinary		
	Bloody		
	Red		
	Sanguinary		
	Bloody		
	Red		
	Sanguinary		
	Bloody		
	Scarlet		
	Crimson		
	Jagged		
	Jagged		
	Jagged		
	Forked		
	Forked		
	Serrated		
	Serrated		
	Jagged		
	Jagged		
	Forked		
	Forked		
	Serrated		
	Jagged		
	Forked		
	Serrated		
	Carbuncle		
	Carmine		
	Vermillion		
	Jagged		
	Deadly		
	Vicious		
	Brutal		
	Massive		
	Savage		
	Merciless		
	Ferocious		
	Cruel		
	Cinnabar		
	Rusty		
	Realgar		
	Ruby		
	Vulpine		
	Dun		
	Tireless		
	Tireless		
	Brown		
	Rugged		
	Rugged		
	Rugged		
	Rugged		
	Rugged		
	Rugged		
	Rugged		
	Rugged		
	Rugged		
	Rugged		
	Rugged		
	Vigorous		
	Chestnut		
	Maroon		
	Bronze		
	Bronze		
	Bronze		
	Iron		
	Iron		
	Iron		
	Steel		
	Steel		
	Steel		
	Bronze		
	Bronze		
	Bronze		
	Iron		
	Iron		
	Steel		
	Steel		
	Bronze		
	Bronze		
	Iron		
	Steel		
	Bronze		
	Iron		
	Steel		
	Silver		
	Gold		
	Platinum		
	Meteoric		
	Strange		
	Weird		
	Nickel		
	Tin		
	Silver		
	Argent		
	Fine		
	Fine		
	Sharp		
	Fine		
	Sharp		
	Fine		
	Sharp		
	Fine		
	Warrior's		
	Soldier's		
	Knight's		
	Lord's		
	King's		
	Master's		
	Grandmaster's		
	Glimmering		
	Glowing		
	Bright		
	Screaming		
	Howling		
	Wailing		
	Screaming		
	Howling		
	Wailing		
	Lucky		
	Lucky		
	Lucky		
	Lucky		
	Lucky		
	Lucky		
	Felicitous		
	Fortuitous		
	Emerald		
	Lizard's		
	Lizard's		
	Lizard's		
	Snake's		
	Snake's		
	Snake's		
	Serpent's		
	Serpent's		
	Serpent's		
	Lizard's		
	Lizard's		
	Lizard's		
	Snake's		
	Snake's		
	Serpent's		
	Serpent's		
	Lizard's		
	Lizard's		
	Snake's		
	Serpent's		
	Lizard's		
	Snake's		
	Serpent's		
	Serpent's		
	Drake's		
	Dragon's		
	Dragon's		
	Wyrm's		
	Great Wyrm's		
	Bahamut's		
	Zircon		
	Jacinth		
	Turquoise		
	Shimmering		
	Shimmering		
	Shimmering		
	Shimmering		
	Shimmering		
	Shimmering		
	Shimmering		
	Rainbow		
	Scintillating		
	Prismatic		
	Chromatic		
	Shimmering		
	Rainbow		
	Scintillating		
	Prismatic		
	Chromatic		
	Shimmering		
	Rainbow		
	Scintillating		
	Shimmering		
	Scintillating		
	Azure		
	Lapis		
	Cobalt		
	Sapphire		
	Azure		
	Lapis		
	Cobalt		
	Sapphire		
	Azure		
	Lapis		
	Cobalt		
	Sapphire		
	Azure		
	Lapis		
	Lapis		
	Cobalt		
	Cobalt		
	Sapphire		
	Lapis Lazuli		
	Sapphire		
	Crimson		
	Russet		
	Garnet		
	Ruby		
	Crimson		
	Russet		
	Garnet		
	Ruby		
	Crimson		
	Russet		
	Garnet		
	Ruby		
	Russet		
	Russet		
	Garnet		
	Garnet		
	Ruby		
	Garnet		
	Ruby		
	Tangerine		
	Ocher		
	Coral		
	Amber		
	Tangerine		
	Ocher		
	Coral		
	Amber		
	Tangerine		
	Ocher		
	Coral		
	Amber		
	Tangerine		
	Ocher		
	Ocher		
	Coral		
	Coral		
	Amber		
	Camphor		
	Ambergris		
	Beryl		
	Viridian		
	Jade		
	Emerald		
	Beryl		
	Viridian		
	Jade		
	Emerald		
	Beryl		
	Viridian		
	Jade		
	Emerald		
	Beryl		
	Viridian		
	Viridian		
	Jade		
	Jade		
	Emerald		
	Beryl		
	Jade		
	Triumphant		
	Victorious		
	Aureolin		
	Mechanist's		
	Artificer's		
	Jeweler's		
	Assamic		
	Arcadian		
	Unearthly		
	Astral		
	Elysian		
	Celestial		
	Diamond		
	Fletcher's		
	Acrobat's		
	Harpoonist's		
	Fletcher's		
	Bowyer's		
	Archer's		
	Acrobat's		
	Gymnast's		
	Athlete's		
	Harpoonist's		
	Spearmaiden's		
	Lancer's		
	Burning		
	Sparking		
	Chilling		
	Burning		
	Blazing		
	Volcanic		
	Sparking		
	Charged		
	Powered		
	Chilling		
	Freezing		
	Glacial		
	Hexing		
	Fungal		
	Graverobber's		
	Hexing		
	Blighting		
	Accursed		
	Fungal		
	Noxious		
	Venomous		
	Graverobber's		
	Vodoun		
	Golemlord's		
	Lion Branded		
	Captain's		
	Preserver's		
	Lion Branded		
	Hawk Branded		
	Rose Branded		
	Captain's		
	Commander's		
	Marshal's		
	Preserver's		
	Warder's		
	Guardian's		
	Expert's		
	Fanatic		
	Sounding		
	Expert's		
	Veteran's		
	Master's		
	Fanatic		
	Raging		
	Furious		
	Sounding		
	Resonant		
	Echoing		
	Trainer's		
	Spiritual		
	Nature's		
	Trainer's		
	Caretaker's		
	Keeper's		
	Spiritual		
	Feral		
	Communal		
	Nature's		
	Terra's		
	Gaea's		
	Entrapping		
	Mentalist's		
	Shogukusha's		
	Entrapping		
	Trickster's		
	Cunning		
	Mentalist's		
	Psychic		
	Shadow		
	Shogukusha's		
	Sensei's		
	Kenshi's		
	Miocene		
	Miocene		
	Oligocene		
	Oligocene		
	Eocene		
	Eocene		
	Paleocene		
	Paleocene		
	Knave's		
	Jack's		
	Jester's		
	Joker's		
	Trump		
	Loud		
	Calling		
	Yelling		
	Shouting		
	Gritty		
	Paradox		
	Paradox		
	Robineye		
	Sparroweye		
	Falconeye		
	Hawkeye		
	Eagleeye		
	Visionary		
	Mnemonic		
	Snowflake		
	Shivering		
	Boreal		
	Hibernal		
	Ember		
	Smoldering		
	Smoking		
	Flaming		
	Scorching		
	Static		
	Glowing		
	Buzzing		
	Arcing		
	Shocking		
	Septic		
	Envenomed		
	Corosive		
	Toxic		
	Pestilent		
	Maiden's		
	Valkyrie's		
	Maiden's		
	Valkyrie's		
	Monk's		
	Priest's		
	Monk's		
	Priest's		
	Monk's		
	Priest's		
	Summoner's		
	Necromancer's		
	Summoner's		
	Necromancer's		
	Angel's		
	Arch-Angel's		
	Angel's		
	Arch-Angel's		
	Slayer's		
	Berserker's		
	Slayer's		
	Berserker's		
	Slayer's		
	Berserker's		
	Shaman's		
	Hierophant's		
	Shaman's		
	Hierophant's		
	Magekiller's		
	Witch-hunter's		
	Magekiller's		
	Witch-hunter's		
	Compact		
	Thin		
	Dense		
	Consecrated		
	Pure		
	Sacred		
	Hallowed		
	Divine		
	Pearl		
	Crimson		
	Red		
	Sanguinary		
	Bloody		
	Red		
	Sanguinary		
	Red		
	Jagged		
	Forked		
	Serrated		
	Jagged		
	Forked		
	Jagged		
	Snowflake		
	Shivering		
	Boreal		
	Hibernal		
	Snowflake		
	Shivering		
	Boreal		
	Hibernal		
	Snowflake		
	Shivering		
	Boreal		
	Hibernal		
	Ember		
	Smoldering		
	Smoking		
	Flaming		
	Ember		
	Smoldering		
	Smoking		
	Flaming		
	Ember		
	Smoldering		
	Smoking		
	Flaming		
	Static		
	Glowing		
	Arcing		
	Shocking		
	Static		
	Glowing		
	Arcing		
	Shocking		
	Static		
	Glowing		
	Arcing		
	Shocking		
	Septic		
	Envenomed		
	Toxic		
	Pestilent		
	Septic		
	Envenomed		
	Toxic		
	Pestilent		
	Septic		
	Envenomed		
	Toxic		
	Pestilent		
	Tireless		
	Lizard's		
	Azure		
	Crimson		
	Tangerine		
	Beryl		
	Godly		
	Cruel		
*=======================以下是魔法后缀(Magic Suffix)			
0			
	of Health		
	of Protection		
	of Absorption		
	of Life		
5			
	of Warding		
	of the Sentinel		
	of Guarding		
	of Negation		
10			
	of Piercing		
	of Bashing		
	of Puncturing		
	of Thorns		
	of Spikes		
	of Readiness		
	of Alacrity		
	of Swiftness		
	of Quickness		
	of Blocking		
	of Deflecting		
	of the Apprentice		
	of the Magus		
	of Frost		
	of the Glacier		
	of Frost		
	of Warmth		
	of Flame		
	of Fire		
	of Burning		
	of Flame		
	of Shock		
	of Lightning		
	of Thunder		
	of Shock		
	of Craftsmanship		
	of Quality		
	of Maiming		
	of Slaying		
	of Gore		
	of Carnage		
	of Slaughter		
	of Maiming		
	of Worth		
	of Measure		
	of Excellence		
	of Performance		
	of Measure		
	of Blight		
	of Venom		
	of Pestilence		
	of Blight		
	of Dexterity		
	of Dexterity		
	of Skill		
	of Skill		
	of Accuracy		
	of Precision		
	of Precision		
	of Perfection		
	of Balance		
	of Stability		
63			
	of Regeneration		
	of Regeneration		
	of Regeneration		
	of Regrowth		
	of Regrowth		
	of Vileness		
70			
	of Greed		
	of Wealth		
	of Chance		
	of Fortune		
	of Energy		
	of Energy		
	of the Mind		
	of Brilliance		
	of Sorcery		
	of Wizardry		
	of the Bear		
	of Light		
	of Radiance		
	of the Sun		
	of Life		
	of the Jackal		
	of the Fox		
	of the Wolf		
	of the Wolf		
	of the Tiger		
	of the Mammoth		
	of the Mammoth		
	of the Colosuss		
	of the Leech		
	of the Locust		
	of the Bat		
	of the Vampire		
	of Defiance		
	of Amelioration		
	of Remedy		
101			
	of Simplicity		
	of Ease		
104			
	of Strength		
	of Might		
	of the Ox		
	of the Ox		
	of the Giant		
	of the Giant		
	of the Titan		
	of Pacing		
	of Haste		
	of Speed		
	of Health		
	of Protection		
	of Absorption		
	of Life		
	of Life Everlasting		
	of Protection		
	of Absorption		
	of Life		
	of Anima		
	of Warding		
	of the Sentinel		
	of Guarding		
	of Negation		
	of the Sentinel		
	of Guarding		
	of Negation		
	of Coolness		
	of Incombustibility		
	of Amianthus		
	of Fire Quenching		
	of Coolness		
	of Incombustibility		
	of Amianthus		
	of Fire Quenching		
	of Faith		
	of Resistance		
	of Insulation		
	of Grounding		
	of the Dynamo		
	of Resistance		
	of Insulation		
	of Grounding		
	of the Dynamo		
	of Stoicism		
	of Warming		
	of Thawing		
	of the Dunes		
	of the Sirocco		
	of Warming		
	of Thawing		
	of the Dunes		
	of the Sirocco		
	of Desire		
	of Piercing		
	of Bashing		
	of Puncturing		
	of Thorns		
	of Spikes		
	of Razors		
	of Swords		
	of Malice		
	of Readiness		
	of Alacrity		
	of Swiftness		
	of Quickness		
	of Alacrity		
	of Fervor		
	of Blocking		
	of Deflecting		
	of the Apprentice		
	of the Magus		
	of Frost		
	of the Icicle		
	of the Glacier		
	of Winter		
	of Frost		
	of Frigidity		
	of Warmth		
	of Flame		
	of Fire		
	of Burning		
	of Incineration		
	of Flame		
	of Passion		
	of Shock		
	of Lightning		
	of Thunder		
	of Storms		
	of Shock		
	of Ennui		
	of Craftsmanship		
	of Quality		
	of Maiming		
	of Slaying		
	of Gore		
	of Carnage		
	of Slaughter		
	of Butchery		
	of Evisceration		
	of Maiming		
	of Craftsmanship		
	of Craftsmanship		
	of Craftsmanship		
	of Quality		
	of Quality		
	of Maiming		
	of Maiming		
	of Craftsmanship		
	of Craftsmanship		
	of Quality		
	of Quality		
	of Maiming		
	of Craftsmanship		
	of Quality		
	of Maiming		
	of Ire		
	of Wrath		
	of Carnage		
	of Worth		
	of Measure		
	of Excellence		
	of Performance		
	of Transcendence		
	of Worth		
	of Measure		
	of Excellence		
	of Performance		
	of Joyfulness		
	of Bliss		
	of Blight		
	of Venom		
	of Pestilence		
	of Anthrax		
	of Blight		
	of Envy		
	of Dexterity		
	of Skill		
	of Accuracy		
	of Precision		
	of Perfection		
	of Nirvana		
	of Dexterity		
	of Skill		
	of Accuracy		
	of Precision		
	of Perfection		
	of Dexterity		
	of Skill		
	of Accuracy		
	of Precision		
	of Dexterity		
	of Dexterity		
	of Dexterity		
	of Dexterity		
	of Dexterity		
	of Dexterity		
	of Daring		
	of Balance		
	of Equilibrium		
	of Stability		
	of Balance		
	of Balance		
	of Balance		
	of Truth		
	of Regeneration		
	of Regeneration		
	of Regeneration		
	of Regrowth		
	of Regrowth		
	of Revivification		
	of Honor		
	of Vileness		
	of Greed		
	of Wealth		
	of Greed		
	of Greed		
	of Greed		
	of Greed		
	of Greed		
	of Greed		
	of Avarice		
	of Chance		
	of Fortune		
	of Fortune		
	of Luck		
	of Fortune		
	of Good Luck		
	of Prosperity		
	of Energy		
	of the Mind		
	of Brilliance		
	of Sorcery		
	of Wizardry		
	of Enlightenment		
	of Energy		
	of the Mind		
	of Brilliance		
	of Sorcery		
	of Wizardry		
	of Energy		
	of the Mind		
	of Brilliance		
	of Sorcery		
	of Knowledge		
	of the Bear		
	of Light		
	of Radiance		
	of the Sun		
	of the Jackal		
	of the Fox		
	of the Wolf		
	of the Tiger		
	of the Mammoth		
	of the Colosuss		
	of the Squid		
	of the Whale		
	of the Jackal		
	of the Fox		
	of the Wolf		
	of the Tiger		
	of the Mammoth		
	of the Colosuss		
	of the Jackal		
	of the Fox		
	of the Wolf		
	of the Tiger		
	of the Mammoth		
	of Life		
	of Life		
	of Life		
	of Substinence		
	of Substinence		
	of Substinence		
	of Vita		
	of Vita		
	of Vita		
	of Life		
	of Life		
	of Substinence		
	of Substinence		
	of Vita		
	of Vita		
	of Life		
	of Substinence		
	of Vita		
	of Spirit		
	of Hope		
	of the Leech		
	of the Locust		
	of the Lamprey		
	of the Leech		
	of the Locust		
	of the Lamprey		
	of the Leech		
	of the Bat		
	of the Wraith		
	of the Vampire		
	of the Bat		
	of the Wraith		
	of the Vampire		
	of the Bat		
	of Defiance		
	of Amelioration		
	of Remedy		
	of Simplicity		
	of Ease		
	of Freedom		
	of Strength		
	of Might		
	of the Ox		
	of the Giant		
	of the Titan		
	of Atlus		
	of Strength		
	of Might		
	of the Ox		
	of the Giant		
	of the Titan		
	of Strength		
	of Might		
	of the Ox		
	of the Giant		
	of Strength		
	of Strength		
	of Strength		
	of Strength		
	of Strength		
	of Strength		
	of Virility		
	of Pacing		
	of Haste		
	of Speed		
	of Traveling		
	of Acceleration		
	of Inertia		
	of Inertia		
	of Inertia		
	of Self-Repair		
	of Fast Repair		
	of Ages		
	of Replenishing		
	of Propogation		
	of the Kraken		
	of Memory		
	of the Elephant		
	of Power		
	of Grace		
	of Grace and Power		
	of the Yeti		
	of the Phoenix		
	of the Efreeti		
	of the Cobra		
	of the Elements		
	of Firebolts		
	of Firebolts		
	of Firebolts		
	of Charged Shield		
	of Charged Shield		
	of Charged Shield		
	of Icebolt		
	of Frozen Armor		
	of Static Field		
	of Telekinesis		
	of Frost Shield		
	of Ice Blast		
	of Blaze		
	of Fire Ball		
	of Nova		
	of Nova		
	of Nova Shield		
	of Nova Shield		
	of Nova Shield		
	of Lightning		
	of Lightning		
	of Shiver Armor		
	of Fire Wall		
	of Enchant		
	of Chain Lightning		
	of Chain Lightning		
	of Chain Lightning		
	of Teleport Shield		
	of Teleport Shield		
	of Teleport Shield		
	of Glacial Spike		
	of Meteor		
	of Thunder Storm		
	of Energy Shield		
	of Blizzard		
	of Chilling Armor		
	of Hydra Shield		
	of Frozen Orb		
	of Dawn		
	of Sunlight		
	of Magic Arrows		
	of Magic Arrows		
	of Fire Arrows		
	of Fire Arrows		
	of Inner Sight		
	of Inner Sight		
	of Jabbing		
	of Jabbing		
	of Cold Arrows		
	of Cold Arrows		
	of Multiple Shot		
	of Multiple Shot		
	of Power Strike		
	of Power Strike		
	of Poison Jab		
	of Poison Jab		
	of Exploding Arrows		
	of Exploding Arrows		
	of Slow Missiles		
	of Slow Missiles		
	of Impaling Strike		
	of Impaling Strike		
	of Lightning Javelin		
	of Lightning Javelin		
	of Ice Arrows		
	of Ice Arrows		
	of Guided Arrows		
	of Guided Arrows		
	of Charged Strike		
	of Charged Strike		
	of Plague Jab		
	of Plague Jab		
	of Immolating Arrows		
	of Immolating Arrows		
	of Fending		
	of Fending		
	of Freezing Arrows		
	of Freezing Arrows		
	of Lightning Strike		
	of Lightning Strike		
	of Lightning Fury		
	of Lightning Fury		
	of Fire Bolts		
	of Fire Bolts		
	of Charged Bolts		
	of Charged Bolts		
	of Ice Bolts		
	of Ice Bolts		
	of Frozen Armor		
	of Frozen Armor		
	of Static Field		
	of Static Field		
	of Telekinesis		
	of Telekinesis		
	of Frost Novas		
	of Frost Novas		
	of Ice Blasts		
	of Ice Blasts		
	of Blazing		
	of Blazing		
	of Fire Balls		
	of Fire Balls		
	of Novas		
	of Novas		
	of Lightning		
	of Lightning		
	of Shiver Armor		
	of Shiver Armor		
	of Fire Walls		
	of Fire Walls		
	of Enchantment		
	of Enchantment		
	of Chain Lightning		
	of Chain Lightning		
	of Teleportation		
	of Teleportation		
	of Glacial Spikes		
	of Glacial Spikes		
	of Meteors		
	of Meteors		
	of Thunder Storm		
	of Thunder Storm		
	of Energy Shield		
	of Energy Shield		
	of Blizzards		
	of Blizzards		
	of Chilling Armor		
	of Chilling Armor		
	of Hydras		
	of Hydras		
	of Frozen Orbs		
	of Frozen Orbs		
	of Amplify Damage		
	of Amplify Damage		
	of Teeth		
	of Teeth		
	of Bone Armor		
	of Bone Armor		
	of Raise Skeletons		
	of Raise Skeletons		
	of Dim Vision		
	of Dim Vision		
	of Weaken		
	of Weaken		
	of Poison Dagger		
	of Poison Dagger		
	of Corpse Explosions		
	of Corpse Explosions		
	of Clay Golem Summoning		
	of Clay Golem Summoning		
	of Iron Maiden		
	of Iron Maiden		
	of Terror		
	of Terror		
	of Bone Walls		
	of Bone Walls		
	of Raise Skeletal Mages		
	of Raise Skeletal Mages		
	of Confusion		
	of Confusion		
	of Life Tap		
	of Life Tap		
	of Poison Explosion		
	of Poison Explosion		
	of Bone Spears		
	of Bone Spears		
	of Blood Golem Summoning		
	of Blood Golem Summoning		
	of Attraction		
	of Attraction		
	of Decrepification		
	of Decrepification		
	of Bone Imprisonment		
	of Bone Imprisonment		
	of Iron Golem Creation		
	of Iron Golem Creation		
	of Lower Resistance		
	of Lower Resistance		
	of Poison Novas		
	of Poison Novas		
	of Bone Spirits		
	of Bone Spirits		
	of Fire Golem Summoning		
	of Fire Golem Summoning		
	of Revivification		
	of Revivification		
	of Sacrifice		
	of Sacrifice		
	of Holy Bolts		
	of Holy Bolts		
	of Zeal		
	of Zeal		
	of Vengeance		
	of Vengeance		
	of Blessed Hammers		
	of Blessed Hammers		
	of Conversion		
	of Conversion		
	of Fist of the Heavens		
	of Fist of the Heavens		
	of Bashing		
	of Bashing		
	of Howling		
	of Howling		
	of Potion Finding		
	of Potion Finding		
	of Taunting		
	of Taunting		
	of Shouting		
	of Shouting		
	of Stunning		
	of Stunning		
	of Item Finding		
	of Item Finding		
	of Concentration		
	of Concentration		
	of Battle Cry		
	of Battle Cry		
	of Battle Orders		
	of Battle Orders		
	of Grim Ward		
	of Grim Ward		
	of War Cry		
	of War Cry		
	of Battle Command		
	of Battle Command		
	of Firestorms		
	of Firestorms		
	of Molten Boulders		
	of Molten Boulders		
	of Eruption		
	of Eruption		
	of Cyclone Armor		
	of Cyclone Armor		
	of Twister		
	of Twister		
	of Volcano		
	of Volcano		
	of Tornado		
	of Tornado		
	of Armageddon		
	of Armageddon		
	of Hurricane		
	of Hurricane		
	of Damage Amplification		
	of the Icicle		
	of the Glacier		
	of Fire		
	of Burning		
	of Lightning		
	of Thunder		
	of Daring		
	of Daring		
	of Knowledge		
	of Knowledge		
	of Virility		
	of Virility		
	of Readiness		
	of Craftsmanship		
	of Quality		
	of Maiming		
	of Craftsmanship		
	of Quality		
	of Craftsmanship		
	of Blight		
	of Venom		
	of Pestilence		
	of Anthrax		
	of Blight		
	of Venom		
	of Pestilence		
	of Anthrax		
	of Blight		
	of Venom		
	of Pestilence		
	of Anthrax		
	of Frost		
	of the Icicle		
	of the Glacier		
	of Winter		
	of Frost		
	of the Icicle		
	of the Glacier		
	of Winter		
	of Frost		
	of the Icicle		
	of the Glacier		
	of Winter		
	of Flame		
	of Fire		
	of Burning		
	of Incineration		
	of Flame		
	of Fire		
	of Burning		
	of Incineration		
	of Flame		
	of Fire		
	of Burning		
	of Incineration		
	of Shock		
	of Lightning		
	of Thunder		
	of Storms		
	of Shock		
	of Lightning		
	of Thunder		
	of Storms		
	of Shock		
	of Lightning		
	of Thunder		
	of Storms		
	of Dexterity		
	of Dexterity		
	of Strength		
	of Strength		
	of Thorns		
	of Frost		
	of Flame		
	of Blight		
	of Shock		
	of Regeneration		
	of Energy		
	of Light		
	of the Leech		
	of the Locust		
	of the Lamprey		
	of the Bat		
	of the Wraith		
	of the Vampire		
*=======================以下是Rare和Crafted名字			
0			
	Bite		
	Scratch		
	Scalpel		
	Fang		
	Gutter		
	Thirst		
	Razor		
	Scythe		
	Edge		
	Saw		
	Splitter		
	Cleaver		
	Sever		
	Sunder		
	Rend		
	Mangler		
	Slayer		
	Reaver		
	Spawn		
	Gnash		
	Star		
	Blow		
	Smasher		
	Bane		
	Crusher		
	Breaker		
	Grinder		
	Crack		
	Mallet		
	Knell		
	Lance		
	Spike		
	Impaler		
	Skewer		
	Prod		
	Scourge		
	Wand		
	Wrack		
	Barb		
	Needle		
	Dart		
	Bolt		
	Quarrel		
	Fletch		
	Flight		
	Nock		
	Horn		
	Stinger		
	Quill		
	Goad		
	Branch		
	Spire		
	Song		
	Call		
	Cry		
	Spell		
	Chant		
	Weaver		
	Gnarl		
	Visage		
	Crest		
	Circlet		
	Veil		
	Hood		
	Mask		
	Brow		
	Casque		
	Visor		
	Cowl		
	Hide		
	Pelt		
	Carapace		
	Coat		
	Wrap		
	Suit		
	Cloak		
	Shroud		
	Jack		
	Mantle		
	Guard		
	Badge		
	Rock		
	Aegis		
	Ward		
	Tower		
	Shield		
	Wing		
	Mark		
	Emblem		
	Hand		
	Fist		
	Claw		
	Clutches		
	Grip		
	Grasp		
	Hold		
	Touch		
	Finger		
	Knuckle		
	Shank		
	Spur		
	Tread		
	Stalker		
	Greaves		
	Blazer		
	Nails		
	Trample		
	Brogues		
	Track		
	Slippers		
	Clasp		
	Buckle		
	Harness		
	Lock		
	Fringe		
	Winding		
	Chain		
	Strap		
	Lash		
	Cord		
	Knot		
	Circle		
	Loop		
	Eye		
	Turn		
	Spiral		
	Coil		
	Gyre		
	Band		
	Whorl		
	Talisman		
	Heart		
	Noose		
	Necklace		
	Collar		
	Beads		
	Torc		
	Gorget		
	Scarab		
	Wood		
	Brand		
	Bludgeon		
	Cudgel		
	Loom		
	Harp		
	Master		
	Bar		
	Hew		
	Crook		
	Mar		
	Shell		
	Stake		
	Picket		
	Pale		
	Flange		
	Beast		
	Eagle		
	Raven		
	Viper		
	Ghoul		
	Skull		
	Blood		
	Dread		
	Doom		
	Grim		
	Bone		
	Death		
	Shadow		
	Storm		
	Rune		
	Plague		
	Stone		
	Wraith		
	Spirit		
	Storm		
	Demon		
	Cruel		
	Empyrian		
	Bramble		
	Pain		
	Loath		
	Glyph		
	Imp		
	Fiend		
	Hailstone		
	Gale		
	Dire		
	Soul		
	Brimstone		
	Corpse		
	Carrion		
	Armageddon		
	Havoc		
	Bitter		
	Entropy		
	Chaos		
	Order		
	Rule		
	Warp		
	Rift		
	Corruption		
*=======================以下是暗金名字(Unique Name)			
	The Gnasher		
	Deathspade		
	Bladebone		
	Mindrend		
	Rakescar		
	Fechmars Axe		
	Goreshovel		
	The Chieftan		
	Brainhew		
	The Humongous		
	Iros Torch		
	Maelstromwrath		
	Gravenspine		
	Umes Lament		
	Felloak		
	Knell Striker		
	Rusthandle		
	Stormeye		
